#taxpath	A01.bins	A02.bins	A03.bins	A05.bins	A06.bins	A07.bins	A08.bins	A09.bins	A10.bins	A11.bins	A12.bins	A13.bins	A14.bins	A15.bins	A16.bins	A17.bins	A18.bins	A19.bins	A20.bins	C141.bins	C142.bins	C143.bins	C144.bins	C145.bins	C146.bins	C147.bins	C148.bins	C149.bins	C150.bins	C151.bins	C152.bins	C153.bins	C154.bins	C155.bins	C156.bins	C157.bins	C158.bins	C159.bins	C160.bins	C161.bins	C162.bins	C163.bins	C164.bins	C165.bins	C166.bins	C167.bins	C168.bins	C169.bins	C170.bins	C171.bins	C172.bins	C173.bins	C174.bins	C175.bins	C176.bins	C177.bins	C178.bins	C179.bins	C180.bins	C181.bins	C182.bins	C183.bins	C184.bins	C197.bins	C198.bins	C199.bins	C200.bins	C201.bins	C202.bins	C203.bins	C204.bins	C205.bins	C206.bins	C207.bins	C208.bins
root__Root;domain__Bacteria;phylum__Hydrogenedentes	17	19	3	14	13	1	36	13	25	17	8	26	8	9	27	51	81	63	85	29	49	32	2	40	23	10	46	24	47	17	9	5	26	7	96	5	2	6	33	45	62	68	57	113	102	81	72	64	82	69	24	6	3	11	4	4	0	9	2	6	4	9	0	4	13	0	95	120	5	103	11	8	6	22	4
root__Root;domain__Bacteria;phylum__Halanaerobiaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Gemmatimonadota	105	134	131	138	129	210	103	332	72	108	269	113	69	220	213	136	194	229	256	52	40	21	166	212	60	131	21	33	22	55	57	2	121	153	49	0	168	2	141	12	26	25	39	38	27	31	44	20	51	37	6	156	118	106	122	92	66	103	34	69	46	65	4	10	3	0	26	22	3	56	2	19	21	45	31
root__Root;domain__Bacteria;phylum__GAL15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Fusobacteriota	2	1	2	3	1	0	3	3	5	1	2	4	0	0	1	41	45	20	32	4	1	0	2	0	0	3	0	0	0	6	0	1	1	1	0	0	4	0	0	14	18	16	10	17	28	34	12	18	19	14	5	23	401	33	24	33	36	97	66	50	10	206	0	0	0	0	0	3	2	4	3	8	2	6	1
root__Root;domain__Bacteria;phylum__Firmicutes	51	98	14	23	21	20	68	16	57	19	32	61	7	23	36	231	337	199	228	438	441	35	219	161	343	154	59	32	539	399	49	108	194	271	131	32	223	32	203	426	440	478	809	947	983	668	591	671	670	554	123	1391	7583	1672	1803	1678	1066	5036	4787	3316	768	7563	127	75	69	1	166	244	2	72	74	88	115	407	216
root__Root;domain__Bacteria;phylum__Firestonebacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Fibrobacterota	1	8	0	1	5	3	14	0	15	1	1	14	1	0	4	22	36	98	59	14	7	0	4	2	17	0	3	2	5	11	0	2	0	3	1	3	0	1	0	0	2	1	5	5	3	3	3	3	6	6	1	53	110	63	29	49	42	32	44	68	15	54	2	0	0	0	0	3	0	4	0	3	1	1	0
root__Root;domain__Bacteria;phylum__FCPU426	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	6	5	2	2	4	3	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Entotheonellaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Bacteria;phylum__Elusimicrobiota	7	4	1	1	0	0	6	0	6	1	0	6	0	0	0	2	4	3	9	0	2	1	0	6	2	2	0	1	2	0	0	0	2	2	2	0	1	0	0	1	0	1	1	2	1	1	1	1	2	0	0	36	31	52	37	40	34	31	24	30	13	23	1	1	0	0	1	1	1	9	1	0	0	0	0
root__Root;domain__Bacteria;phylum__Edwardsbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
