sample,aminoglycoside,aminoglycoside:aminocoumarin,antibacterial_free_fatty_acids,bacitracin,beta-lactam,bicyclomycin,diaminopyrimidine,fluoroquinolone,"fluoroquinolone,multidrug","fluoroquinolone/fluoroquinolone,multidrug",fluoroquinolone/multidrug,"fluoroquinolone/multidrug/fluoroquinolone,multidrug",fosfomycin,fosmidomycin,fusidic-acid,glycopeptide,MLS,multidrug,"multidrug/fluoroquinolone,multidrug",mupirocin,nitroimidazole,nucleoside,oxazolidinone,peptide,"peptide,polymyxin","peptide/peptide,polymyxin",peptide/polymyxin,"peptide/polymyxin/peptide,polymyxin",phenicol,pleuromutilin,polymyxin,polymyxin/peptide,"polymyxin/peptide,polymyxin","polymyxin/peptide/peptide,polymyxin",rifamycin,sulfonamide,tetracenomycin_C,tetracycline,triclosan,unclassified
C150,206,0,3,743,1000,0,7,184,0,0,0,0,4,309,0,97,369,11854,0,0,83,0,0,496,0,0,0,20,31,8,0,0,0,0,403,29,0,345,15,199
C151,273,1,9,1369,599,0,23,133,0,0,0,0,2,365,0,75,481,11264,0,4,106,0,0,427,0,17,0,0,15,12,0,0,0,0,217,27,0,209,17,217
C152,55,0,3,336,14,0,0,21,0,0,0,0,0,90,0,10,94,2230,0,0,20,0,0,24,0,0,0,0,2,2,0,7,0,0,21,11,0,18,0,27
C153,22,0,0,93,188,0,2,34,0,0,0,0,0,49,0,10,37,1873,0,0,6,0,0,73,0,0,0,0,10,2,2,0,0,0,61,6,0,51,3,21
C154,228,0,1,1949,85,0,11,109,0,0,0,0,2,500,0,56,539,12318,0,1,131,0,0,149,0,0,0,0,11,4,0,0,33,0,94,22,2,63,16,239
C155,133,0,1,1155,55,0,5,36,0,0,5,0,2,244,0,60,252,6898,0,1,72,0,0,137,0,0,0,0,5,4,0,0,8,0,68,24,0,61,17,153
C156,382,1,8,3157,149,0,17,117,0,0,0,0,3,851,0,37,707,16304,0,0,170,0,0,216,0,0,0,0,105,4,0,0,110,0,109,88,0,103,30,391
C157,14,0,0,42,56,0,0,10,0,0,0,0,0,17,0,4,18,697,0,0,5,0,0,38,0,0,0,0,4,0,0,0,0,0,16,1,0,16,0,6
C158,215,0,0,1810,91,0,11,65,0,0,3,0,3,363,0,59,487,11015,0,0,175,1,1,169,0,0,0,0,3,7,0,0,18,0,101,13,0,90,29,229
C159,8,0,0,50,107,0,0,21,0,0,0,0,0,16,0,2,17,804,0,0,4,0,0,35,0,0,0,0,1,0,0,0,0,0,31,1,0,33,1,9
C160,194,2,4,1711,69,0,16,75,0,0,0,0,3,398,0,51,438,10415,0,1,108,0,0,150,0,0,0,0,9,6,0,0,34,0,102,25,0,50,13,184
