sample,aminoglycoside,aminoglycoside:aminocoumarin,antibacterial_free_fatty_acids,bacitracin,beta-lactam,bicyclomycin,diaminopyrimidine,fluoroquinolone,"fluoroquinolone,multidrug","fluoroquinolone/fluoroquinolone,multidrug",fluoroquinolone/multidrug,"fluoroquinolone/multidrug/fluoroquinolone,multidrug",fosfomycin,fosmidomycin,fusidic-acid,glycopeptide,MLS,multidrug,"multidrug/fluoroquinolone,multidrug",mupirocin,nitroimidazole,nucleoside,oxazolidinone,peptide,"peptide,polymyxin","peptide/peptide,polymyxin",peptide/polymyxin,"peptide/polymyxin/peptide,polymyxin",phenicol,pleuromutilin,polymyxin,polymyxin/peptide,"polymyxin/peptide,polymyxin","polymyxin/peptide/peptide,polymyxin",rifamycin,sulfonamide,tetracenomycin_C,tetracycline,triclosan,unclassified
C161,0.0175894365116,0,4.70742932281e-4,0.145837195021,1.00402034672,0,0.00492469529156,0.00380279222007,0,0,0,0,1.69892186087e-4,0.0106916053303,0,0.0123340966955,0.0361361316106,2.20198678155,0,0,0.00990016063767,0,0,0.126073046814,0,0,0,0,0.00142709436313,8.36876324056e-4,0,0,4.43721434658e-4,0,0.0574801896259,0.00782464577191,0,0.0104967617174,8.90469389143e-5,0.0672324875062
C162,0.0292239409895,0,2.75117793451e-4,0.145039682089,1.16687939638,0,0.00433416339221,0.00231551194926,0,0,0,0,0,0.0099976464102,0,0.0160713105651,0.0246163648975,2.02653504242,0,0,0.0102377854355,0,0,0.122795683622,0,0,0,5.42588808352e-4,0.00151239491002,0.0015977211116,0,0,0,0,0.0515252187482,0.00589821440433,0,0.00976378923104,2.08167946178e-4,0.0419686540804
C163,0.0374644209421,0,1.28417041157e-4,0.129241168102,0.746365250235,0,0.00204158557151,0.00284678716677,0,0,0,0,3.70767998527e-4,0.0113658477792,0,0.0300761566736,0.0435867638119,2.20942195189,6.24204351951e-4,2.40781952169e-5,0.008515241327,0,0,0.108811256986,0,0,0,0,0.00160913311361,0.00129368278498,0,0,2.23468929626e-4,0,0.0713728397165,0.00618579895776,0,0.0109113667831,0.0014089183944,0.0527086435049
C164,0.0477153768924,5.00907860518e-5,3.57679519151e-4,0.109594052813,0.288914690332,0,0.00321039178165,0.00309102300699,0,0,0,0,3.27021274652e-4,0.019988178397,0,0.0446497364104,0.0383932501333,2.25129764433,0,2.23549699469e-5,0.00629319291427,1.15032609174e-4,0,0.0739213154847,0,0,0,0,0.00187951174695,0.00208425596345,0,0,3.80372177466e-4,0,0.0891563264578,0.00816975410527,0,0.0153356186988,0.00204218679814,0.03344875138
C165,0.0541383679707,0,0.00040021642989100003,0.0982333426158,0.0833124222896,0,0.00314351814023,0.00375937155279,0,0,0,0,8.35234288467e-4,0.0186012787512,0,0.0372332259721,0.105071454911,2.34063419418,9.32149659492e-4,9.38007257556e-5,0.00465406322594,0,0,0.060932402708,0,0,0,0,0.00181993155487,0.0022234246105,0,0,4.35280709247e-4,0,0.109195893292,0.00984277862911,0,0.0164392078781,0.0021008405305,0.0340102288585
C166,0.0616709310573,1.23947649545e-4,4.42531842515e-4,0.115501351228,0.0736372985944,0,0.00823033580609,0.00399058068553,0,0,0,0,7.09825511803e-4,0.0216444842648,0,0.0183744765035,0.0828799711444,2.69514831619,0.0027883862932,0,0.00609913302307,0,0,0.066311610659,0,0,0,9.41215761723e-4,0.00349802012217,0.00180654974393,0,0,0,0,0.10401309833,0.0109386468723,0,0.0202201346526,0.00889191075613,0.0370676978924
C167,0.056724309183,1.58850208469e-4,4.41112688274e-4,0.117002197505,0.0892785547972,0,0.00806606058558,0.00535106563309,0,0,0,0,0.00125472053553,0.0206569844265,0,0.0228989505215,0.115679112788,2.33225896537,0,1.89048294974e-4,0.00569613556817,0,0,0.060115261148,8.40722326896e-4,0,0,0,0.00280189472973,0.00123231481169,0,0,0,0,0.0970049917792,0.0102607131124,0,0.0174534562793,0.00341385136817,0.0351861316361
C168,0.067014461351,4.99614020258e-5,2.37837090894e-4,0.105296491406,0.102157160361,0,0.00180988225265,0.00420008201218,0,0,0,0,9.85569527732e-4,0.0195467283287,0,0.0270208474809,0.0651620182511,1.67378767474,0,6.68916818138e-5,0.00561001303056,0,0,0.0627573390005,8.27759301237e-4,0,0,0,0.00254761077572,0.00267786946784,0,0,0,0,0.118568048681,0.00782593282827,4.24393322041e-5,0.0181988987692,0.00360012326797,0.0362815595095
C169,0.0604409505584,1.75581120991e-4,2.7861309824e-4,0.11884226397,0.104312743981,0,0.00326181188183,0.00429205931379,0,0,0,0,0.00133734287155,0.0197013437663,0,0.041318622053,0.054013071317,2.28849866125,0.00428852566405,5.223995592e-5,0.00592842716255,1.48593652395e-4,0,0.0515867177143,0,0,0,0,0.00185820272679,0.00177486862582,0,0,0,8.48465265939e-4,0.0954909734599,0.0101127694174,0,0.0202726792265,0.00332948432751,0.0459455219674
C170,0.0565555700474,1.85932812879e-4,2.21279415328e-4,0.111271934565,0.11253106435100001,0,0.00162365532776,0.00515481440325,0,0,0,0,6.38881920947e-4,0.0189631061877,0,0.0351001498378,0.0904115308676,2.1714265489,0,0,0.00551145430342,0,0,0.0588740785908,0,0,0,0,0.00268330406798,0.00203249240746,0,0,5.45510582802e-4,0,0.0948473451805,0.0111309261614,0,0.0184381478591,0.00115108897826,0.0341437169076
